허가구역명,장소유형,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,푸드트럭운영대수,허가구역사용료,허가구역운영시작일자,허가구역운영종료일자,허가구역휴무일,허가구역평일운영시작시각,허가구역평일운영종료시각,허가구역주말운영시작시각,허가구역주말운영종료시각,1월운영시작시각,1월운영종료시각,2월운영시작시각,2월운영종료시각,3월운영시작시각,3월운영종료시각,4월운영시작시각,4월운영종료시각,5월운영시작시각,5월운영종료시각,6월운영시작시각,6월운영종료시각,7월운영시작시각,7월운영종료시각,8월운영시작시각,8월운영종료시각,9월운영시작시각,9월운영종료시각,10월운영시작시각,10월운영종료시각,11월운영시작시각,11월운영종료시각,12월운영시작시각,12월운영종료시각,판매제한품목,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
완산쳬련공원,03,13,전주시 완산구,전라북도 전주시 완산구 모악산자락길 22(중인동),전라북도 전주시 완산구 중인동 361-1,35.7674452,127.1015490,1,"월 55,000원",2018-10-15,2019-10-14,연중무휴,10:00,18:00,08:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,전라북도 전주시시설관리공단 공원운영부,063-239-2568,2019-08-30,4640000,전라북도 전주시
부곡온천관광특구,2,경상남도,창녕군,,경상남도 창녕군 부곡면 거문리 723-2,35.441552,128.535214,1,0,2020-01-01,2020-12-31,없음,09:00,22:00,09:00,22:00,09:00,20:00,09:00,20:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,20:00,허가품목 외,창녕군청,055-530-1094,2020-07-17,5410000,경상남도 창녕군
우포 잠자리 나라,2,경상남도,창녕군,,경상남도 창녕군 이방면 안리 1360-1,35.566697,128.416936,1,0,2020-01-01,2020-12-31,없음,09:00,22:00,09:00,22:00,09:00,20:00,09:00,20:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,20:00,허가품목 외,창녕군청,055-530-1094,2020-07-17,5410000,경상남도 창녕군
고속국도 졸음쉼터,1,경기도,양주시,경기도 양주시 장흥면 서울외곽순환고속도로 58,경기도 양주시 장흥면 삼하리 250-16,37.67919783,126.9157818,1,"월6,500,000원",2017-05-01,2020-02-28,연중무휴,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,양주시 민원봉사과,031-8082-5292,2020-05-26,5590000,경기도 양주시
영상강문화공원,4,전라남도,담양군,,전라남도 담양군 담양읍 향교리 271-8,35.32520546,126.987889,2,월 338080원,2020-04-20,2022-04-19,휴무일 없음,10:00,19:00,10:00,19:00,,,,,,,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,,담양군,061-380-2807,2020-10-16,4850000,전라남도 담양군
인제군농특산물전시판매장 주차장,99,강원도,인제군,강원도 인제군 인제읍 비봉로 48,강원도 인제군 인제읍 상동리 430,38.06526797,128.1744703,2,공시지가(원) × 면적 × 1(년) × 0.05,2018-05-23,2023-05-09,연중무휴,09:00,20:00,09:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,주류,인제군,033-460-2246,2020-10-15,4330000,강원도 인제군
어울림근린공원,04,경기도,동두천시,,경기도 동두천시 생연동 714-6,37.89661147,127.0517101,1,"년 257,100원",2016-07-04,2020-07-04,연중무휴,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,주류,동두천시청 농업축산위생과,031-860-2232,2020-06-30,3920000,경기도 동두천시
캠프보산 월드푸드스트리트,08,경기도,동두천시,,경기도 동두천시 보산동 429-19,37.91646779,127.0562633,12,"년 1,000,000원",2020-06-20,2023-06-20,연중무휴,18:00,23:00,18:00,23:00,00:00,00:00,00:00,00:00,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,00:00,00:00,주류,동두천시총 전략사업과,031-860-2275,2020-06-30,3920000,경기도 동두천시
원주종합체육관,3,강원도,원주시,강원도 원주시 서원대로 281,,37.33906115,127.9419163,5,"일 4,860원",2019-10-01,2020-03-31,홈경기일 27일만 운영,17:00,22:00,15:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,원주시 체육시설사업소,033-737-4302,2020-05-12,4190000,강원도 원주시
강변축구장,3,대구광역시,북구,대구광역시 북구 조야로2길 113-30(서변동),,35.9089871082,128.5903467370,,"월 89,480원",2016-05-25,2018-05-22,비정기적+우천시휴무,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,대구광역시 북구 위생과,053-665-2754,2020-10-13,3450000,대구광역시 북구
검단졸음쉼터(부산방향),7,대구광역시,북구,,대구광역시 북구 검단동 543-2,,,,월매출액의 1퍼센트,2016-06-28,2018-06-30,연중무휴,07:00,19:00,07:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,대구광역시 북구 위생과,053-665-2754,2020-10-13,3450000,대구광역시 북구
검단졸음쉼터(서울방향),7,대구광역시,북구,,대구광역시 북구 검단동 376-11,,,,월매출액의 1퍼센트,2016-06-28,2018-06-30,연중무휴,07:00,19:00,07:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,대구광역시 북구 위생과,053-665-2754,2020-10-13,3450000,대구광역시 북구
구수산도서관 주차장,8,대구광역시,북구,대구광역시 북구 대천로 21(읍내동),,35.9387435195,128.5524048216,,"월 89,480원",2016-12-27,2017-12-26,비정기적+우천시휴무,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,대구광역시 북구 위생과,053-665-2754,2020-10-13,3450000,대구광역시 북구
안성시종합운동장,3,경기도,안성시,경기도 안성시 보개면 종합운동장로 203,경기도 안성시 보개면 양복리 238-2,37.0147795,127.323606,1,-,2015-12-11,2025-12-10,-,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,-,안성시 시설관리공단,031-672-1234,2021-03-15,4080000,경기도 안성시
한경대,6,경기도,안성시,경기도 안성시 중앙로 327,경기도 안성시 석정동 63-1,37.01020238,127.2637664,1,-,2018-10-24,2021-10-23,-,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,한경대,031-678-5734,2021-03-15,4080000,경기도 안성시
안성맞춤랜드,1,경기도,안성시,경기도 안성시 보개면 남사당로 198,경기도 안성시 보개면 복평리 303-3,37.03286562,127.3078038,1,-,2019-03-12,2019-08-30,-,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,안성시 농업기술센터,031-678-5734,2021-03-15,4080000,경기도 안성시
