,구별,위도,경도,푸드트럭운영대수
0,완산쳬련공원,35.767445200000004,127.101549,1.0
1,부곡온천관광특구,35.441552,128.535214,1.0
2,우포 잠자리 나라,35.566697,128.41693600000002,1.0
3,고속국도 졸음쉼터,37.67919783,126.91578179999999,1.0
4,영상강문화공원,35.32520546,126.987889,2.0
5,인제군농특산물전시판매장 주차장,38.06526797,128.1744703,2.0
6,어울림근린공원,37.89661147,127.05171010000001,1.0
7,캠프보산 월드푸드스트리트,37.91646779,127.0562633,12.0
8,원주종합체육관,37.33906115,127.94191629999999,5.0
13,안성시종합운동장,37.014779499999996,127.32360600000001,1.0
14,한경대,37.01020238,127.26376640000001,1.0
15,안성맞춤랜드,37.03286562,127.30780379999999,1.0
16,강화군 화도면,37.61059258,126.45717900000001,1.0
17,교동면 난정저수지,37.77623225,126.23029650000001,1.0
18,수성랜드,35.8268314197,128.6128425503,1.0
19,진포해양테마공원 내,35.989698,126.714672,4.0
20,옥도면 장자도리,35.812323,126.39721000000002,5.0
21,서룡공원(서룡A),35.337534000000005,128.95609199999998,1.0
22,푸드트럭존,37.4982667167,127.026867,17.0
23,성모병원사거리,37.5023936158,127.0058606043,1.0
24,양재역 1번,37.4847921379,127.03294819959999,1.0
25,양재역 5번,37.4843381074,127.03516699999999,2.0
26,신사역,37.4687628545,127.040373,1.0
27,금강제화,37.5018444583,127.024653352,1.0
28,반포쇼핑타운4동,37.506545403800004,127.004826,2.0
29,남부터미널,37.4835466074,127.0151108866,1.0
30,금산군푸드트럭존,36.11206754,127.4916373,1.0
31,우포늪생태공원,35.544126,128.417684,1.0
32,남지읍수변생태공원,35.384883,128.47411100000002,3.0
33,낙동강하천공원주차장,35.394693,128.440563,1.0
36,부산대학교내 장승터,35.23224315,129.0838247,1.0
37,금양초등학교,35.24123566,129.0920249,1.0
38,부산가톨릭대학교 로사리오광장,35.24467702,129.0968719,1.0
39,홍예공원,36.65456294,126.66550670000001,1.0
40,체육공원,36.64824648,126.6663169,1.0
41,빨간카페,34.631985,127.563179,1.0
42,가야진사공원(원동A),35.368395,128.904522,1.0
43,서룡공원(서룡B),35.337534000000005,128.95609199999998,1.0
44,황산공원(황산A),35.310435,128.978124,1.0
45,황산공원(황산B),35.298295,128.989648,1.0
46,황산공원(황산C),35.3017308251,128.9895949139,1.0
47,황산공원(황산D)),35.291672663,129.000544126,1.0
49,부천종합운동장,37.50256698,126.79902390000001,1.0
50,소사국민체육센터,37.46843935,126.7983828,1.0
51,남해유배문학관,34.83195528,127.8991855,1.0
52,창선교 밑,34.83255476,128.000043,1.0
54,팜랜드,36.9920809,127.19442269999999,1.0
55,구석기,38.01564928,127.0614528,1.0
56,쉬림프 파파,38.00737481,127.0621336,1.0
57,뉴욕커 핫도그,38.0073748068,127.06213359200001,1.0
58,로하스 캠핑테리아,38.02809439999999,127.0637091,1.0
59,부산시청 푸드트럭존,35.17992599,129.0750952,3.0
60,아시아드주경기장,35.19008744,129.058356,7.0
61,사랑을 볶는 카페,35.0093764339,128.0472845779,1.0
62,뉴욕타이거푸드카페,34.9322941876,128.0523348304,1.0
63,우리가족,34.9322941876,128.0523348304,1.0
66,구좌 해안도로,33.487252000000005,126.902478,1.0
67,수목원테마파크,33.470650355100005,126.48821775799999,18.0
68,새별오름,33.3615590828,126.3636535377,10.0
70,광명동굴 내,37.424678573,126.8634320983,4.0
72,송림테마거리,36.0369311787,129.37835563040002,8.0
73,선린대학교,36.0899403107,129.3326014958,1.0
74,칠포해수욕장,36.1420294942,129.3920649276,1.0
75,영일대해수욕장,36.1420294942,129.3920649276,5.0
76,포항대학교 학교주차장,36.0864225949,129.41069570780002,1.0
77,팔달문 차없는 거리 및 지동교,37.277718,127.018472,18.0
78,입곡군립공원 주차장,35.263335999999995,128.449553,1.0
79,입곡군립공원 아라힐링카페,35.259539399999994,128.4510892,1.0
80,악양생태공원,35.33978875,128.39669270000002,1.0
81,강나루생태공원,35.392269,128.509703,1.0
82,중부선 농다리 졸음쉼터,36.83465579999999,127.4940163,1.0
83,서울외곽고속도로 김포TG외측 졸음쉼터,37.5869702,126.7518781,1.0
84,한강신도시 호수공원,37.6457871088,126.63491772,1.0
85,해운대구청,35.1631596,129.1635629,1.0
86,안중시장 고객센터 앞,36.98750243,126.9284436,1.0
87,산청 동의보감촌 입구주차장,35.4414774882,127.8294876846,1.0
88,광양국민체육센터 커피하우스,34.9823760605,127.5737443314,1.0
89,서구문화회관,35.87279161,128.545535,1.0
90,앵강소공원내,34.78432799,127.96133950000001,1.0
91,송정해수욕장 주차장,34.7235513,128.0249358,1.0
92,서울혁신파크,37.6094070491,126.93495387870001,1.0
94,양서친환경도서관 앞,37.541986,127.323247,1.0
95,우치공원,35.22431388,126.89424209999999,1.0
96,청양공설운동장,36.4616217314,126.811576441,1.0
97,칠갑산오토캠핑장,36.39572454,126.863183,1.0
98,청양군민체육관,36.45368677,126.79461540000001,1.0
99,치즈체험장,36.48953279,126.7587885124,1.0
100,동해시웰빙스포츠타운 일원,37.51606095,129.1021986,0.0
101,포항운전면허시험장,35.9423187355,129.3929024188,0.0
102,포항종합공설운동장일대,36.008398131,129.3628911843,1.0
103,형산강변 연일대교 하단 일원,36.0000678897,129.3460814314,0.0
104,백양공원,35.2072432019,129.037795495,1.0
114,강진오감통,34.639145158000005,126.773555426,0.0
115,고려청자박물관,34.508662032,126.8008374078,0.0
116,시문학파기념관,34.6422880024,126.7659602749,0.0
117,다산박물관,34.5764119352,126.7499561025,0.0
118,강진군도서관,34.640508697600005,126.76972005,0.0
119,강진군아트홀,34.6381752709,126.7704992252,0.0
123,노작호수공원,37.20627225,127.0802263,1.0
125,동학산근린공원,37.22046464,127.07858449999999,1.0
126,다람산근린공원,37.2173701985,127.0336057796,1.0
127,장안휴게소,37.09250707,126.84474229930001,1.0
128,수원대학교,37.1920328913,126.9839265343,1.0
130,곤지암도자기공원,37.35028421,127.3347877,5.0
131,곤지암팀업캠퍼스,37.35249195,127.32370039999999,2.0
132,광주시청,37.42928622,127.2550706,1.0
133,청석공원,37.40205984,127.27281940000002,1.0
138,상림고운광장,35.52532597,127.721763,1.0
142,의왕시청,37.3453180672,126.9679890624,1.0
143,청계TG졸음쉼터,37.3932701093,127.02230959180001,1.0
145,엑스포시민광장,36.366468570900004,127.38801538850001,4.0
151,천제연폭포주차장,33.2526765845,126.4183754156,1.0
154,문화시설,34.9676735966,127.486752521,0.0
155,유원시설,34.969413200000005,127.48726119999999,1.0
156,만안구청,37.3866427218,126.9324066057,1.0
157,안양종합운동장,37.405145536199996,126.9452343077,8.0
164,여주종합운동장,37.2932681617,127.62446542209999,1.0
165,여주프리미엄아울렛,37.2459480522,127.6123847586,10.0
166,375st 여주아울렛,37.2430186886,127.616400323,3.0
167,당항포관광지,35.0532261508,128.3920276219,1.0
